ATBR01B,ATBR02B,ATBGEAS,ATBGSOS,ATBGTJS,ATBGSLI,ATDGRIHY,cluster,cluster_pred
34.0,8.0,9.44107,13.6815,8.67953,10.27928,58.5,2,2
25.0,8.0,9.44107,11.59162,8.0184,10.90415,39.0,2,2
29.000000000000004,10.0,9.44107,8.99685,10.39017,9.68037,26.13333,2,2
27.0,2.0,8.83963,10.40627,8.67953,8.54995,26.53333,3,3
27.0,10.0,9.44107,12.35702,9.27422,5.31576,13.26667,2,2
31.0,3.0000000000000004,8.83963,10.40627,6.680299999999999,9.68037,26.0,3,3
33.0,0.0,12.58648,13.6815,11.82034,12.34223,87.5,5,4
33.0,4.0,12.95333,13.6815,11.82034,11.57611,350.0,1,1
33.0,2.0,13.7901,13.6815,11.82034,10.90415,268.33333,1,1
33.0,1.0,13.7901,13.6815,11.82034,11.57611,233.33333,1,1
30.0,4.0,11.27266,11.59162,13.241339999999996,11.57611,156.0,5,4
29.000000000000004,5.0,10.65566,13.6815,13.241339999999996,10.90415,74.75,5,4
29.000000000000004,3.0000000000000004,11.58744,13.6815,13.241339999999996,12.34223,74.75,5,4
28.0,0.0,10.04647,10.96579,11.01744,9.68037,156.0,1,1
23.0,6.000000000000001,10.04647,13.6815,13.241339999999996,10.90415,65.0,5,4
22.0,9.0,10.04647,13.6815,13.241339999999996,10.90415,65.0,5,4
33.0,10.0,7.63433,7.52665,6.01233,10.27928,52.0,2,3
35.0,4.0,7.0062,9.89419,7.334360000000001,10.90415,19.5,3,3
18.0,7.0,8.54003,8.99685,7.334360000000001,9.1022,91.0,0,0
35.0,5.0,9.44107,7.87142,6.680299999999999,9.68037,123.5,3,3
34.0,0.0,8.54003,13.6815,3.83998,5.31576,32.5,3,3
35.0,0.0,7.63433,12.35702,5.21324,6.51654,32.5,3,3
35.0,1.0,7.93892,10.40627,3.83998,10.27928,26.0,3,3
36.0,2.0,9.13986,10.40627,3.83998,9.68037,26.0,3,3
36.0,3.0000000000000004,11.58744,10.96579,10.39017,11.57611,130.0,6,5
35.0,0.0,10.04647,13.6815,13.241339999999996,10.90415,26.0,6,5
35.0,3.0000000000000004,9.44107,9.89419,6.680299999999999,7.52318,104.0,3,3
35.0,2.0,8.24023,9.42597,11.01744,9.68037,136.5,3,3
31.0,3.0000000000000004,8.24023,10.40627,8.0184,9.68037,91.0,3,3
32.0,5.0,8.83963,13.6815,5.21324,10.27928,195.0,1,1
31.0,1.0,7.0062,8.59932,5.21324,15.07968,148.2,3,3
33.0,5.0,7.0062,8.59932,9.27422,8.54995,65.0,2,2
36.0,5.0,6.33546,8.99685,3.83998,8.54995,45.75,3,3
27.0,8.0,9.44107,7.52665,11.82034,9.1022,47.46667,2,2
26.0,1.0,8.83963,11.59162,8.67953,10.27928,468.0,1,1
26.0,0.0,12.58648,13.6815,11.82034,12.34223,182.0,1,1
21.0,5.0,7.63433,10.40627,13.241339999999996,11.57611,464.56667,1,1
15.0,0.0,7.32427,8.22671,8.67953,9.68037,150.83333,0,0
26.0,2.0,9.7433,12.35702,13.241339999999996,8.54995,26.0,5,4
26.0,6.000000000000001,9.7433,12.35702,13.241339999999996,8.54995,26.0,2,2
19.0,11.0,8.54003,8.99685,8.0184,8.54995,65.0,0,0
14.0,8.0,8.24023,9.42597,8.0184,9.1022,65.0,0,0
32.0,0.0,9.44107,13.6815,13.241339999999996,15.07968,58.5,6,5
30.0,4.0,9.7433,9.89419,9.82876,10.27928,78.0,2,2
32.0,0.0,9.7433,10.40627,8.67953,13.321370000000002,26.0,6,5
16.0,3.0000000000000004,8.83963,13.6815,8.67953,9.68037,13.0,0,0
32.0,3.0000000000000004,12.95333,13.6815,13.241339999999996,7.52318,78.0,5,4
33.0,3.0000000000000004,12.95333,12.35702,13.241339999999996,12.34223,78.0,5,4
32.0,10.0,14.29769,13.6815,11.01744,10.27928,78.0,5,4
34.0,10.0,10.35049,13.6815,8.67953,9.68037,26.0,2,2
34.0,10.0,10.65566,13.6815,9.27422,9.68037,58.5,2,2
34.0,5.0,8.83963,11.59162,9.27422,9.68037,58.5,2,2
34.0,3.0000000000000004,7.63433,12.35702,10.39017,9.1022,58.5,2,2
35.0,6.000000000000001,8.83963,10.96579,8.0184,9.68037,58.5,2,2
34.0,7.0,8.83963,10.96579,8.0184,9.1022,58.5,2,2
28.0,0.0,5.5941,8.99685,6.680299999999999,9.68037,32.5,3,3
28.0,3.0000000000000004,6.67793,7.87142,3.83998,10.27928,32.5,3,3
35.0,0.0,12.58648,13.6815,9.27422,11.57611,26.0,6,5
34.0,0.0,12.58648,13.6815,8.0184,11.57611,26.0,6,5
34.0,0.0,12.58648,13.6815,9.82876,11.57611,26.0,6,5
35.0,0.0,12.58648,13.6815,9.82876,11.57611,26.0,6,5
35.0,1.0,9.44107,12.35702,13.241339999999996,15.07968,183.75,1,1
34.0,2.0,8.83963,10.40627,13.241339999999996,9.68037,116.66667,5,4
35.0,2.0,8.83963,10.40627,13.241339999999996,9.68037,116.66667,5,4
37.0,2.0,11.90844,11.59162,6.680299999999999,10.27928,52.0,2,2
37.0,2.0,9.7433,11.59162,7.334360000000001,12.34223,126.75,6,5
37.0,0.0,11.27266,9.42597,13.241339999999996,10.27928,78.0,6,5
33.0,5.0,10.35049,13.6815,13.241339999999996,9.1022,230.75,1,1
32.0,3.0000000000000004,8.83963,10.96579,3.83998,8.0267,182.0,3,3
30.0,4.0,10.65566,11.59162,11.01744,10.90415,130.0,5,4
33.0,3.0000000000000004,10.35049,11.59162,11.01744,9.1022,130.0,5,4
30.0,3.0000000000000004,9.13986,11.59162,13.241339999999996,9.1022,182.0,1,1
32.0,2.0,11.58744,10.40627,3.83998,10.27928,182.0,1,1
34.0,4.0,8.54003,9.42597,6.01233,8.54995,65.0,3,3
33.0,3.0000000000000004,8.54003,9.42597,6.01233,9.1022,65.0,3,3
27.0,3.0000000000000004,10.04647,12.35702,11.82034,8.54995,325.0,1,1
26.0,2.0,13.7901,13.6815,13.241339999999996,10.90415,325.0,1,1
27.0,1.0,13.34977,13.6815,13.241339999999996,10.27928,325.0,1,1
15.0,0.0,9.7433,10.40627,8.67953,10.27928,325.0,1,1
26.0,1.0,11.90844,13.6815,13.241339999999996,12.34223,325.0,1,1
31.0,1.0,9.7433,13.6815,6.01233,10.27928,52.0,6,5
31.0,1.0,11.90844,13.6815,11.01744,11.57611,52.0,6,5
31.0,1.0,9.44107,13.6815,13.241339999999996,9.68037,78.0,5,4
35.0,4.0,9.44107,10.40627,13.241339999999996,10.90415,35.4,2,2
35.0,3.0000000000000004,7.32427,13.6815,13.241339999999996,9.68037,123.90000000000002,5,4
35.0,7.0,8.24023,12.35702,10.39017,9.68037,17.7,2,2
35.0,2.0,8.24023,13.6815,11.01744,10.27928,59.0,6,5
28.0,2.0,8.83963,10.96579,11.01744,11.57611,61.95000000000001,6,5
27.0,0.0,8.83963,10.96579,11.01744,11.57611,61.95000000000001,6,5
31.0,6.000000000000001,8.83963,9.89419,6.680299999999999,10.27928,13.0,3,3
34.0,3.0000000000000004,9.7433,10.40627,11.01744,9.68037,78.0,1,4
32.0,2.0,8.54003,11.59162,8.0184,12.34223,104.0,6,5
32.0,1.0,8.83963,10.96579,8.0184,12.34223,104.0,6,5
25.0,4.0,9.44107,9.42597,10.39017,10.27928,26.13333,3,3
25.0,3.0000000000000004,9.44107,9.42597,10.39017,10.27928,26.13333,3,3
35.0,8.0,9.44107,12.35702,9.82876,10.27928,221.0,1,1
40.0,1.0,11.27266,13.6815,13.241339999999996,2.7955,143.0,5,4
34.0,1.0,11.27266,13.6815,13.241339999999996,2.7955,143.0,5,4
32.0,1.0,11.27266,13.6815,13.241339999999996,2.7955,143.0,5,4
40.0,1.0,10.96267,13.6815,13.241339999999996,2.7955,143.0,5,4
34.0,4.0,9.7433,13.6815,11.82034,10.90415,143.0,5,4
33.0,5.0,9.13986,10.40627,7.334360000000001,10.27928,21.45,3,3
34.0,5.0,9.13986,10.40627,7.334360000000001,10.27928,21.45,3,3
33.0,5.0,10.04647,12.35702,11.82034,8.0267,39.2,5,4
33.0,3.0000000000000004,9.44107,10.96579,13.241339999999996,9.68037,52.26667,5,4
35.0,5.0,10.96267,11.59162,13.241339999999996,11.57611,52.26667,5,4
34.0,5.0,8.24023,11.59162,10.39017,8.54995,52.26667,5,4
25.0,7.0,8.83963,10.40627,9.82876,9.68037,234.0,1,1
40.0,4.0,9.13986,8.99685,9.27422,10.90415,234.0,1,1
35.0,4.0,9.13986,8.99685,9.82876,10.90415,234.0,1,1
17.0,1.0,7.0062,10.96579,8.0184,10.27928,52.26667,0,0
18.0,2.0,7.63433,10.96579,9.27422,11.57611,19.6,0,0
26.0,2.0,9.44107,11.59162,10.39017,7.52318,35.0,3,3
27.0,3.0000000000000004,8.24023,13.6815,8.67953,8.54995,46.66667,3,3
28.0,10.0,10.35049,13.6815,10.39017,10.27928,89.06667,2,2
29.000000000000004,0.0,10.35049,13.6815,9.82876,10.27928,44.53333,6,5
29.000000000000004,0.0,9.13986,13.6815,11.82034,15.07968,89.06667,6,5
29.000000000000004,4.0,10.96267,12.35702,8.0184,13.321370000000002,111.33333,6,5
42.0,0.0,11.58744,13.6815,9.82876,12.34223,104.0,6,5
42.0,0.0,11.58744,13.6815,9.82876,12.34223,104.0,6,5
42.0,0.0,11.58744,13.6815,13.241339999999996,10.90415,104.0,6,5
42.0,0.0,11.58744,13.6815,13.241339999999996,10.90415,104.0,6,5
2.0,0.0,14.923600000000002,13.6815,13.241339999999996,13.321370000000002,104.0,6,5
12.000000000000002,6.000000000000001,10.65566,11.59162,8.67953,9.68037,26.0,0,0
10.0,6.000000000000001,7.32427,9.42597,8.67953,8.54995,52.0,0,0
13.0,4.0,10.04647,9.42597,10.39017,9.1022,39.0,0,0
28.0,5.0,10.96267,10.40627,11.82034,10.90415,59.33333,5,4
27.0,10.0,8.83963,9.42597,13.241339999999996,10.90415,118.66667,2,2
29.000000000000004,7.0,8.24023,9.89419,7.334360000000001,9.68037,52.0,3,3
29.000000000000004,5.0,10.04647,11.59162,8.67953,10.90415,156.0,1,1
29.000000000000004,6.000000000000001,8.83963,7.87142,3.83998,9.68037,65.0,3,3
28.0,4.0,10.65566,10.40627,11.82034,9.68037,65.0,5,4
29.000000000000004,3.0000000000000004,7.63433,10.40627,8.67953,9.1022,78.0,3,3
28.0,6.000000000000001,10.04647,9.42597,9.82876,9.1022,26.0,2,2
29.000000000000004,5.0,9.44107,9.89419,9.27422,8.54995,52.0,3,3
29.000000000000004,0.0,11.58744,13.6815,13.241339999999996,12.34223,208.0,1,1
28.0,3.0000000000000004,8.24023,8.59932,13.241339999999996,10.27928,156.0,1,1
28.0,0.0,9.13986,8.59932,11.01744,12.34223,52.0,3,3
35.0,2.0,8.54003,10.96579,11.82034,9.68037,58.5,2,2
33.0,2.0,9.7433,10.40627,7.334360000000001,8.54995,58.5,3,3
30.0,0.0,8.24023,10.40627,6.01233,10.27928,58.5,3,3
24.000000000000004,4.0,9.7433,10.40627,8.67953,10.27928,113.75,0,0
35.0,5.0,11.90844,13.6815,13.241339999999996,11.57611,182.0,5,4
33.0,2.0,11.27266,12.35702,13.241339999999996,11.57611,156.0,6,5
32.0,4.0,12.95333,13.6815,11.01744,11.57611,78.0,5,4
33.0,4.0,8.83963,9.89419,13.241339999999996,9.68037,116.66667,2,2
33.0,7.0,10.96267,10.40627,8.67953,9.1022,23.33333,5,4
31.0,3.0000000000000004,7.0062,7.87142,13.241339999999996,11.57611,156.0,3,1
25.0,5.0,8.24023,7.52665,3.83998,9.1022,166.66667,3,3
29.000000000000004,4.0,9.13986,13.6815,8.67953,9.1022,37.03704,5,4
27.0,0.0,7.32427,9.89419,8.0184,9.68037,334.25,1,1
28.0,4.0,11.27266,9.42597,6.680299999999999,9.1022,33.33333,3,3
3.0000000000000004,0.0,9.7433,9.89419,9.82876,10.27928,62.5,0,0
26.0,2.0,10.96267,13.6815,13.241339999999996,7.52318,133.33333,5,4
26.0,1.0,8.83963,8.22671,6.01233,9.1022,50.0,3,3
23.0,4.0,8.83963,7.18418,3.83998,9.1022,182.22222,3,3
23.0,0.0,9.7433,10.40627,11.82034,11.57611,84.88889,0,0
16.0,1.0,8.24023,8.99685,8.0184,9.68037,28.2963,0,0
21.0,4.0,9.7433,8.59932,9.27422,10.27928,59.259260000000005,0,0
30.0,0.0,10.65566,11.59162,8.67953,10.27928,58.04167,6,5
26.0,2.0,10.65566,9.42597,7.334360000000001,9.68037,333.33333,1,1
25.0,4.0,8.83963,12.35702,13.241339999999996,9.68037,118.75,0,0
25.0,3.0000000000000004,5.97557,8.59932,3.83998,9.68037,33.33333,3,3
24.000000000000004,3.0000000000000004,10.65566,12.35702,11.01744,9.68037,80.0,6,4
25.0,5.0,10.96267,7.52665,5.21324,9.1022,100.0,3,3
26.0,10.0,7.63433,8.59932,6.680299999999999,8.54995,80.0,3,3
27.0,1.0,10.04647,8.22671,3.83998,9.1022,33.33333,3,3
27.0,4.0,10.35049,7.87142,7.334360000000001,9.68037,158.33333,3,3
28.0,1.0,7.93892,8.99685,8.67953,9.1022,108.33333,3,3
29.000000000000004,0.0,11.90844,10.40627,10.39017,10.90415,51.85185,6,5
26.0,5.0,9.13986,10.40627,13.241339999999996,9.68037,33.33333,2,2
26.0,1.0,9.7433,9.42597,9.82876,10.90415,79.58333,3,3
28.0,2.0,10.04647,9.42597,9.27422,10.90415,100.0,3,3
28.0,0.0,9.13986,8.22671,8.67953,10.90415,33.33333,3,3
20.0,3.0000000000000004,7.93892,8.99685,8.67953,9.68037,100.0,0,0
27.0,2.0,7.63433,8.22671,6.01233,9.1022,83.33333,3,3
29.000000000000004,0.0,10.35049,9.42597,9.82876,10.27928,44.44444,3,3
28.0,6.000000000000001,11.27266,9.42597,8.67953,9.1022,222.22222,1,1
29.000000000000004,5.0,10.96267,11.59162,11.82034,9.68037,100.0,2,2
27.0,3.0000000000000004,11.90844,9.42597,8.67953,8.54995,83.33333,3,3
28.0,4.0,8.54003,7.18418,8.0184,9.1022,100.0,3,3
21.0,1.0,11.27266,12.35702,11.82034,12.34223,207.40741,1,1
5.0,0.0,7.32427,8.99685,6.680299999999999,9.1022,74.07407,0,0
29.000000000000004,18.0,8.83963,8.99685,11.01744,8.54995,59.259260000000005,2,2
21.0,5.0,7.63433,7.87142,9.82876,10.27928,100.0,0,0
23.0,5.0,10.65566,8.59932,9.82876,10.27928,93.0,0,0
25.0,3.0000000000000004,7.0062,10.96579,11.82034,10.90415,59.259260000000005,3,3
17.0,0.0,8.54003,8.96982,13.241339999999996,9.68037,83.33333,0,0
28.0,0.0,7.63433,10.40627,10.39017,9.1022,59.259260000000005,3,3
27.0,5.0,9.7433,8.59932,9.27422,9.1022,166.66667,3,3
27.0,0.0,7.32427,8.22671,11.01744,10.90415,33.0,3,3
24.000000000000004,1.0,10.35049,8.99685,6.680299999999999,9.1022,100.0,3,3
28.0,5.0,12.2402,10.40627,11.01744,8.54995,53.05556,5,4
25.0,6.000000000000001,6.33546,7.87142,9.27422,8.0267,75.0,3,3
24.000000000000004,4.0,10.96267,10.40627,13.241339999999996,8.54995,148.14815,5,4
29.000000000000004,4.0,7.0062,8.59932,3.83998,8.0267,66.66667,3,3
29.000000000000004,3.0000000000000004,8.54003,9.42597,13.241339999999996,10.27928,30.0,2,2
33.0,0.0,8.83963,9.42597,8.67953,7.52318,133.0,3,3
28.0,1.0,8.83963,9.89419,8.67953,13.321370000000002,152.0,1,1
29.000000000000004,0.0,9.44107,12.35702,7.334360000000001,11.57611,22.16667,6,5
24.000000000000004,4.0,9.13986,8.99685,8.67953,9.68037,19.1,3,3
27.0,0.0,11.27266,13.6815,9.82876,13.321370000000002,126.66667,6,5
31.0,0.0,10.04647,12.35702,13.241339999999996,9.82262,34.0,6,5
27.0,4.0,8.54003,9.89419,13.241339999999996,9.68037,155.16667,1,1
34.0,2.0,10.96267,11.59162,8.67953,9.1022,20.9,6,5
25.0,1.0,9.7433,9.89419,13.241339999999996,10.90415,222.83333,1,1
16.0,1.0,8.77419,13.6815,9.82876,6.51654,76.8,0,0
30.0,2.0,7.63433,12.35702,11.01744,9.1022,57.0,3,3
22.0,3.0000000000000004,10.04647,13.6815,13.241339999999996,9.1022,38.2,5,4
25.0,3.0000000000000004,8.24023,9.42597,8.67953,8.54995,110.83333,3,3
28.0,1.0,10.96267,11.59162,6.01233,8.54995,18.0,3,3
37.0,0.0,9.13986,8.99685,10.39017,15.07968,89.6,6,5
28.0,0.0,7.32427,9.89419,7.334360000000001,10.90415,130.0,3,3
34.0,1.0,10.04647,9.42597,6.680299999999999,10.90415,13.0,3,3
30.0,0.0,8.54003,8.59932,11.01744,11.57611,95.0,3,3
26.0,2.0,8.54003,8.99685,8.0184,9.1022,38.0,3,3
31.0,0.0,11.27266,13.6815,10.39017,15.07968,77.6,6,5
34.0,0.0,7.63433,13.6815,6.680299999999999,7.026859999999999,190.0,1,1
27.0,2.0,9.13986,8.59932,8.67953,11.0406,57.0,3,3
37.0,0.0,9.44107,13.6815,13.241339999999996,10.90415,76.0,6,5
31.0,1.0,10.96267,13.6815,8.67953,9.1022,76.0,6,5
26.0,3.0000000000000004,10.35049,12.35702,13.241339999999996,12.34223,160.0,1,1
35.0,0.0,10.35049,9.42597,9.27422,9.68037,140.8,6,3
37.0,0.0,10.35049,13.6815,13.241339999999996,12.34223,57.0,6,5
24.000000000000004,0.0,11.27266,13.6815,11.01744,10.90415,19.0,6,5
30.0,1.0,11.58744,9.89419,8.0184,12.34223,50.66667,6,5
25.0,3.0000000000000004,7.63433,8.22671,3.83998,8.54995,131.00234292796466,3,3
25.0,3.0000000000000004,8.83963,6.83434,9.27422,9.68037,110.83333,3,3
21.0,2.0,8.54003,13.6815,11.82034,10.90415,63.33333,0,0
31.0,0.0,9.44107,13.6815,11.82034,10.90415,104.72,6,5
21.0,2.0,8.24023,7.52665,3.83998,9.68037,57.6,3,3
28.0,4.0,11.27266,13.6815,13.241339999999996,9.68037,63.66667,5,4
34.0,0.0,9.7433,13.6815,13.241339999999996,12.34223,126.66667,6,5
32.0,0.0,7.0062,9.42597,6.680299999999999,10.27928,136.5,3,3
30.0,1.0,9.44107,9.42597,8.67953,9.68037,128.0,3,3
38.0,1.0,9.44107,11.59162,8.0184,11.57611,130.0,6,5
25.0,6.000000000000001,8.54003,13.6815,11.01744,9.1022,19.0,0,0
20.0,2.0,8.24023,10.40627,9.82876,10.27928,63.33333,0,0
30.0,0.0,7.63433,13.6815,13.241339999999996,13.321370000000002,57.3,6,5
20.0,6.000000000000001,5.18576,6.054530000000001,8.0184,9.68037,82.76667,0,0
34.0,2.0,7.63433,8.99685,8.0184,10.27928,266.66667,1,1
30.0,0.0,8.54003,11.59162,13.241339999999996,11.57611,126.66667,6,5
28.0,0.0,9.13986,13.6815,8.67953,8.54995,199.5,1,1
27.0,3.0000000000000004,10.04647,13.6815,11.82034,9.1022,140.74074,5,4
26.0,1.0,10.35049,9.89419,11.82034,13.321370000000002,115.2,6,5
27.0,2.0,8.83963,8.99685,6.01233,10.90415,25.46667,3,3
29.000000000000004,0.0,10.35049,10.40627,11.82034,10.27928,171.0,2,2
29.000000000000004,1.0,7.93892,12.35702,13.241339999999996,10.90415,152.0,1,1
33.0,0.0,10.96267,13.6815,9.27422,15.07968,24.547190403554385,6,5
23.0,0.0,10.65566,9.89419,11.01744,10.27928,45.96667,0,0
29.000000000000004,0.0,7.63433,7.52665,8.0184,10.27928,152.0,3,3
27.0,2.0,11.90844,13.6815,11.82034,10.90415,9.55,6,5
30.0,2.0,9.44107,9.89419,8.0184,9.68037,72.0,3,3
32.0,3.0000000000000004,9.13986,12.35702,8.0184,10.90415,76.0,6,5
25.0,0.0,8.83963,13.6815,6.680299999999999,8.54995,64.0,3,3
32.0,7.0,6.67793,11.59162,8.0184,10.90415,118.098688076521,3,3
26.0,15.0,11.90844,13.6815,10.39017,12.34223,6.33333,2,5
33.0,0.0,11.27266,9.42597,5.21324,12.34223,110.83333,6,5
37.0,0.0,9.13986,9.42597,7.334360000000001,12.34223,110.83333,6,5
32.0,0.0,10.96267,13.6815,13.241339999999996,12.34223,32.33333,6,5
29.000000000000004,0.0,10.04647,12.35702,11.01744,13.321370000000002,171.9,1,1
29.000000000000004,1.0,11.90844,13.6815,8.67953,12.34223,89.13333,6,5
33.0,3.0000000000000004,10.96267,13.6815,8.67953,13.321370000000002,95.0,6,5
30.0,6.000000000000001,7.32427,8.59932,6.680299999999999,5.96314,22.16667,2,2
29.000000000000004,0.0,9.13986,8.22671,6.680299999999999,11.57611,110.83333,3,3
22.0,6.000000000000001,11.58744,13.6815,13.241339999999996,9.68037,19.0,5,4
38.0,0.0,7.32427,9.42597,8.67953,8.54995,126.66667,3,3
24.000000000000004,4.0,6.33546,8.59932,7.334360000000001,9.1022,25.33333,2,2
39.0,0.0,10.65566,10.96579,8.67953,11.57611,31.66667,6,5
23.0,7.0,9.44107,13.6815,8.67953,9.68037,50.66667,5,4
23.0,1.0,10.35049,10.96579,11.01744,11.57611,147.2,1,1
25.0,5.0,7.63433,9.89419,6.680299999999999,9.68037,76.4,3,3
36.0,0.0,8.24023,10.40627,3.83998,13.321370000000002,89.6,6,5
33.0,0.0,10.35049,9.42597,8.0184,9.1022,22.4,3,3
29.000000000000004,2.0,10.35049,13.6815,13.241339999999996,11.57611,114.0,6,5
26.0,2.0,10.96267,13.6815,13.241339999999996,9.1022,76.0,5,4
31.0,6.000000000000001,7.63433,8.99685,8.67953,10.90415,48.0,3,3
39.0,1.0,10.96267,8.99685,6.01233,9.68037,25.33333,6,5
25.0,2.0,7.0062,13.6815,13.241339999999996,11.57611,136.16667,1,1
25.0,0.0,8.24023,7.52665,10.39017,9.68037,198.4,1,1
30.0,0.0,9.44107,13.6815,6.680299999999999,13.321370000000002,22.16667,6,5
35.0,0.0,10.35049,13.6815,8.67953,11.57611,95.0,6,5
25.0,1.0,9.13986,9.89419,6.680299999999999,10.27928,114.0,3,3
24.000000000000004,1.0,8.83963,8.99685,7.334360000000001,9.1022,64.0,3,3
26.0,0.0,7.32427,9.89419,8.0184,12.34223,110.83333,3,3
29.000000000000004,0.0,10.65566,12.35702,9.82876,12.34223,48.0,6,5
26.0,0.0,8.54003,8.59932,6.01233,11.57611,76.0,3,3
33.0,5.0,13.7901,12.35702,9.82876,9.68037,156.8,5,4
38.0,0.0,7.32427,8.22671,6.01233,15.07968,47.5,6,3
33.0,1.0,9.44107,13.6815,6.01233,10.27928,142.5,6,5
30.0,2.0,10.35049,13.6815,7.334360000000001,7.52318,47.5,3,3
27.0,0.0,5.18576,13.6815,8.67953,12.34223,79.58333,3,3
28.0,5.0,10.35049,12.35702,11.82034,10.27928,96.0,5,4
32.0,0.0,9.7433,7.18418,9.82876,10.27928,94.5,3,3
31.0,5.0,9.7433,13.6815,8.67953,10.27928,158.33333,1,1
27.0,2.0,9.75274,10.40627,6.680299999999999,6.51654,15.833329999999998,3,3
30.0,5.0,9.13986,9.89419,13.241339999999996,11.57611,31.66667,2,2
32.0,3.0000000000000004,7.93892,12.35702,8.67953,10.27928,95.0,3,3
34.0,0.0,10.35049,13.6815,9.27422,13.321370000000002,114.0,6,5
29.000000000000004,4.0,10.04647,11.59162,8.0184,9.1022,76.0,3,3
36.0,0.0,9.7433,11.59162,11.01744,15.07968,19.0,6,5
25.0,0.0,10.96267,13.6815,8.67953,12.34223,44.33333,6,5
25.0,2.0,8.24023,12.35702,6.01233,9.68037,179.2,1,1
33.0,0.0,9.7433,13.6815,10.39017,12.34223,79.38772352218999,6,5
30.0,0.0,9.13986,8.59932,9.82876,10.90415,127.33333,3,3
20.0,5.0,7.32427,9.42597,8.67953,8.0267,126.66667,0,0
28.0,0.0,11.27266,10.40627,11.01744,10.90415,12.66667,6,5
25.0,0.0,8.24023,10.40627,7.334360000000001,10.27928,38.6,3,3
26.0,0.0,9.13986,11.59162,8.67953,13.182,76.0,6,5
26.0,3.0000000000000004,8.83963,11.59162,11.82034,9.68037,89.06546466077273,3,4
26.0,1.0,8.24023,9.89419,9.82876,8.54995,102.4,3,3
27.0,0.0,5.18576,9.42597,8.0184,10.90415,80.83333,3,3
26.0,1.0,10.96267,13.6815,13.241339999999996,10.27928,101.33333,6,5
28.0,1.0,8.83963,11.59162,8.67953,13.321370000000002,110.83333,6,5
33.0,1.0,10.65566,7.87142,8.67953,11.57611,270.2,1,1
27.0,0.0,11.27266,13.6815,13.241339999999996,12.34223,142.5,6,1
27.0,0.0,11.90844,11.59162,8.67953,7.52318,63.33333,3,3
27.0,1.0,7.0062,12.35702,8.67953,11.57611,38.4,3,3
25.0,4.0,9.13986,11.59162,6.01233,9.07422,63.33333,3,3
26.0,0.0,9.44107,12.35702,13.241339999999996,10.90415,152.0,1,1
33.0,0.0,8.83963,10.96579,9.82876,11.57611,47.5,6,5
25.0,0.0,10.65566,10.96579,13.241339999999996,13.321370000000002,126.66667,1,1
31.0,1.0,12.95333,11.59162,11.01744,11.57611,199.5,1,1
28.0,0.0,11.90844,11.59162,11.01744,10.27928,64.0,5,4
31.0,4.0,7.32427,10.40627,13.241339999999996,10.27928,115.2,2,2
6.999999999999999,0.0,8.54003,11.59162,13.241339999999996,15.07968,95.0,0,0
25.0,3.0000000000000004,8.24023,11.59162,10.39017,9.68037,110.83333,3,3
17.0,3.0000000000000004,7.0062,9.89419,8.0184,10.27928,31.66667,0,0
31.0,2.0,10.96267,11.59162,11.82034,10.27928,71.86667,6,5
